Error on sys_iter: 81, step_num: 195, rand_seed: 18431
Error on sys_iter: 11, step_num: 204, rand_seed: 18018
Error on sys_iter: 102, step_num: 159, rand_seed: 12206
Error on sys_iter: 53, step_num: 208, rand_seed: 16992
Error on sys_iter: 54, step_num: 186, rand_seed: 19629
Error on sys_iter: 65, step_num: 183, rand_seed: 22173
Error on sys_iter: 85, step_num: 196, rand_seed: 3626
Error on sys_iter: 46, step_num: 198, rand_seed: 2708
Error on sys_iter: 37, step_num: 215, rand_seed: 28852
Error on sys_iter: 108, step_num: 208, rand_seed: 32539
Error on sys_iter: 68, step_num: 210, rand_seed: 7303
Error on sys_iter: 15, step_num: 179, rand_seed: 10743
Error on sys_iter: 49, step_num: 183, rand_seed: 18946
Error on sys_iter: 99, step_num: 205, rand_seed: 6441
Error on sys_iter: 70, step_num: 215, rand_seed: 32577
Error on sys_iter: 40, step_num: 191, rand_seed: 15172
Error on sys_iter: 15, step_num: 163, rand_seed: 7354
Error on sys_iter: 11, step_num: 184, rand_seed: 15013
Error on sys_iter: 10, step_num: 201, rand_seed: 24770
Error on sys_iter: 29, step_num: 165, rand_seed: 28672
Error on sys_iter: 20, step_num: 170, rand_seed: 12488
Error on sys_iter: 211, step_num: 144, rand_seed: 4403
Error on sys_iter: 141, step_num: 167, rand_seed: 32192
Error on sys_iter: 131, step_num: 163, rand_seed: 2911
Error on sys_iter: 191, step_num: 179, rand_seed: 22098
Error on sys_iter: 121, step_num: 196, rand_seed: 19465
Error on sys_iter: 162, step_num: 114, rand_seed: 32702
Error on sys_iter: 142, step_num: 189, rand_seed: 1587
Error on sys_iter: 172, step_num: 212, rand_seed: 2881
Error on sys_iter: 164, step_num: 198, rand_seed: 28963
Error on sys_iter: 194, step_num: 155, rand_seed: 17888
Error on sys_iter: 124, step_num: 143, rand_seed: 15618
Error on sys_iter: 224, step_num: 206, rand_seed: 10820
Error on sys_iter: 234, step_num: 203, rand_seed: 7127
Error on sys_iter: 195, step_num: 210, rand_seed: 28807
Error on sys_iter: 156, step_num: 172, rand_seed: 14633
Error on sys_iter: 206, step_num: 190, rand_seed: 29494
Error on sys_iter: 127, step_num: 162, rand_seed: 11911
Error on sys_iter: 147, step_num: 187, rand_seed: 29884
Error on sys_iter: 128, step_num: 172, rand_seed: 27494
Error on sys_iter: 228, step_num: 198, rand_seed: 4198
Error on sys_iter: 188, step_num: 191, rand_seed: 33218
Error on sys_iter: 129, step_num: 205, rand_seed: 14014
Error on sys_iter: 229, step_num: 139, rand_seed: 14413
Error on sys_iter: 139, step_num: 199, rand_seed: 22034
Error on sys_iter: 130, step_num: 178, rand_seed: 1555
Error on sys_iter: 220, step_num: 168, rand_seed: 21562
Error on sys_iter: 242, step_num: 142, rand_seed: 25012
Error on sys_iter: 342, step_num: 180, rand_seed: 7752
Error on sys_iter: 312, step_num: 174, rand_seed: 16152
Error on sys_iter: 344, step_num: 155, rand_seed: 9024
Error on sys_iter: 324, step_num: 153, rand_seed: 24085
Error on sys_iter: 284, step_num: 192, rand_seed: 23223
Error on sys_iter: 245, step_num: 214, rand_seed: 19898
Error on sys_iter: 285, step_num: 166, rand_seed: 21939
Error on sys_iter: 256, step_num: 151, rand_seed: 21052
Error on sys_iter: 336, step_num: 197, rand_seed: 15581
Error on sys_iter: 247, step_num: 199, rand_seed: 4212
Error on sys_iter: 308, step_num: 212, rand_seed: 14347
Error on sys_iter: 259, step_num: 209, rand_seed: 4657
Error on sys_iter: 269, step_num: 174, rand_seed: 3635
Error on sys_iter: 260, step_num: 194, rand_seed: 3323
Error on sys_iter: 481, step_num: 186, rand_seed: 30576
Error on sys_iter: 662, step_num: 212, rand_seed: 25288
Error on sys_iter: 454, step_num: 161, rand_seed: 21933
Error on sys_iter: 604, step_num: 215, rand_seed: 28609
Error on sys_iter: 425, step_num: 192, rand_seed: 27032
Error on sys_iter: 665, step_num: 190, rand_seed: 3101
Error on sys_iter: 487, step_num: 195, rand_seed: 26036
Error on sys_iter: 667, step_num: 181, rand_seed: 31388
Error on sys_iter: 428, step_num: 183, rand_seed: 24440
Error on sys_iter: 458, step_num: 171, rand_seed: 3629
Error on sys_iter: 369, step_num: 180, rand_seed: 20983
Error on sys_iter: 489, step_num: 211, rand_seed: 16883
Error on sys_iter: 400, step_num: 182, rand_seed: 26916
